"filename", "language", "HTML", "comment", "blank", "total"
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/admin/fragments/general.html", "HTML", 23, 4, 2, 29
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/admin/fragments/manager-master.html", "HTML", 68, 0, 1, 69
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/admin/fragments/modal.html", "HTML", 56, 17, 5, 78
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/admin/manager/category.html", "HTML", 91, 0, 6, 97
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/admin/manager/media-type.html", "HTML", 96, 0, 5, 101
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/auth/login.html", "HTML", 72, 4, 9, 85
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/auth/register.html", "HTML", 132, 10, 22, 164
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/course/course-info.html", "HTML", 254, 14, 9, 277
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/course/course-lib.html", "HTML", 154, 18, 5, 177
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/course/course-list.html", "HTML", 164, 20, 7, 191
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/course/edit-course.html", "HTML", 111, 1, 6, 118
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/course/edit-lesson.html", "HTML", 98, 0, 3, 101
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/course/lesson-info.html", "HTML", 20, 1, 2, 23
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/fragments/general.html", "HTML", 209, 48, 32, 289
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/fragments/modal.html", "HTML", 83, 21, 7, 111
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/home.html", "HTML", 171, 29, 18, 218
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/wallet/payin.html", "HTML", 81, 2, 10, 93
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/wallet/purchase.html", "HTML", 98, 2, 12, 112
"/home/ndong/Documents/Java-Programming/spring/course-web/src/main/resources/templates/web/wallet/withdraw.html", "HTML", 67, 2, 12, 81
"Total", "-", 2048, 193, 173, 2414
